id,timestamp,vehicle_id,traffic_density,network_quality,battery,speed,task_type,rl_decision,final_decision,adaptation_reason,explanation
1401,2026-06-24 16:20:48,vehicle_7,LOW,MODERATE,88.39,6.09,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1402,2026-06-24 16:20:50,vehicle_28,MEDIUM,MODERATE,25.73,10.0,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1403,2026-06-24 16:20:51,vehicle_1,MEDIUM,MODERATE,92.2,14.25,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1404,2026-06-24 16:20:52,vehicle_28,MEDIUM,MODERATE,28.08,15.8,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation."
1405,2026-06-24 16:20:53,vehicle_24,MEDIUM,MODERATE,98.8,18.2,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1406,2026-06-24 16:20:54,vehicle_11,LOW,MODERATE,49.42,5.77,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1407,2026-06-24 16:20:55,vehicle_16,HIGH,MODERATE,41.27,15.63,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1408,2026-06-24 16:20:57,vehicle_1,LOW,MODERATE,33.11,12.43,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1409,2026-06-24 16:20:58,vehicle_8,HIGH,MODERATE,80.26,18.08,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
1410,2026-06-24 16:20:59,vehicle_3,HIGH,MODERATE,36.18,11.52,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"High traffic density increases local congestion risk. | Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1411,2026-06-24 16:21:00,vehicle_10,MEDIUM,MODERATE,49.47,6.7,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1412,2026-06-24 16:21:01,vehicle_12,HIGH,MODERATE,35.59,6.4,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,"High traffic density increases local congestion risk. | Vehicle battery is low, so local execution may be risky. | Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1413,2026-06-24 16:21:02,vehicle_14,LOW,MODERATE,87.7,7.11,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1414,2026-06-24 16:21:03,vehicle_29,HIGH,MODERATE,80.67,18.63,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1415,2026-06-24 16:21:04,vehicle_11,LOW,MODERATE,30.58,16.3,obstacle_detection,VEHICLE,EDGE,High predicted congestion detected; VEHICLE execution overridden to EDGE.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1416,2026-06-24 16:21:06,vehicle_5,LOW,MODERATE,45.71,13.89,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1417,2026-06-24 16:21:07,vehicle_22,LOW,MODERATE,47.65,11.74,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1418,2026-06-24 16:21:08,vehicle_28,MEDIUM,MODERATE,32.19,16.18,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1419,2026-06-24 16:21:09,vehicle_10,MEDIUM,MODERATE,34.64,17.58,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation."
1420,2026-06-24 16:21:10,vehicle_19,HIGH,MODERATE,48.59,10.22,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
1421,2026-06-24 16:21:11,vehicle_30,MEDIUM,MODERATE,39.77,15.92,obstacle_detection,EDGE,EDGE,RL decision accepted without override.,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
1422,2026-06-24 16:21:12,vehicle_5,HIGH,MODERATE,98.53,10.01,obstacle_detection,CLOUD,CLOUD,RL decision accepted without override.,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
1423,2026-06-24 16:21:13,vehicle_27,LOW,MODERATE,88.03,15.8,obstacle_detection,VEHICLE,VEHICLE,RL decision accepted without override.,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
